Name:     release date:    engine Volume:            price:
Audi         18.6.2002               100              7654
Citroen         17.5.1993               108              9799
Lexus        23.10.2021               161             14181
Lexus         19.5.2020               117             20370
Merc         24.8.2026               190             30224
Skoda        22.11.2000               176             33611
Hundai         7.12.2005               151             37612
Jaguar          6.4.1999               177             59545
Merc        23.10.2025               122             66092
Lexus         13.2.2017               176             74881
